"protocol","port","content_length","content_type","content_charset","method","path","encoding","duration","class"
1,42010,9461,1,"-1",2,2,0,"21.0","normal"
1,23419,687,4,0,1,2,0,"4.0","normal"
0,45477,983,6,0,0,2,0,"7.0","normal"
0,51283,2581,1,0,0,0,0,"22.0","normal"
0,29503,816,4,0,0,2,0,"16.0","normal"
1,45820,7480,0,"-1",5,8,2,"34.0","normal"
0,36779,999,4,0,0,0,0,"50.0","normal"
0,39056,6191,0,0,0,2,4,"1.0","normal"
2,63367,7257,4,1,0,0,4,"5.0","normal"
3,58014,7693,6,2,0,10,0,"2.0","normal"
0,39957,2068,3,2,2,0,1,"38.0","normal"
0,56183,2100,0,0,0,0,2,"6.0","normal"
1,6304,1788,2,2,0,3,2,"41.0","normal"
0,63927,8033,5,0,1,0,3,"7.0","normal"
1,9919,7067,5,2,5,0,0,"1.0","normal"
1,60346,21207,4,0,0,1,3,"1.0","anomaly"
2,21468,4988,1,0,1,0,0,"18.0","normal"
1,62062,3815,4,0,0,0,"-1","15.0","normal"
1,19874,7905,4,0,0,2,4,"3.0","normal"
1,39827,6396,5,1,1,4,4,"83.0","normal"
0,27736,9813,0,0,1,4,1,"0.0","normal"
3,46913,5365,1,0,0,7,0,"61.0","normal"
0,7940,6838,5,"-1",0,1,1,"1.0","normal"
3,28006,9741,3,0,1,2,0,"10.0","normal"
2,6666,5501,0,0,0,4,4,"4.0","anomaly"
0,36258,205,4,0,0,3,0,"17.0","normal"
0,34631,312,3,0,1,1,4,"0.012679659818673417","anomaly"
2,62333,6589,0,"-1",3,2,4,"5.0","normal"
1,7777,8073,4,0,2,2,2,"9.0","anomaly"
2,45043,4307,4,"-1",2,0,2,"21.0","normal"
1,46262,8386,0,0,0,4,0,"2.0","normal"
3,7136,3638,4,2,1,4,0,"10.0","normal"
1,6666,1963,0,1,0,2,4,"2.0","anomaly"
0,7777,5791,1,2,1,9,"-1","16.0","anomaly"
3,64071,9169,4,2,0,2,1,"10.0","normal"
3,51779,571,0,0,0,2,2,"12.0","normal"
2,16242,54666,5,0,0,7,"-1","5.0","anomaly"
2,23690,727,1,0,0,9,"-1","0.0873816625544654","anomaly"
0,5555,1075,0,0,0,3,4,"5.0","anomaly"
2,41939,4213,6,0,1,4,2,"1.0","normal"
0,62229,80084,6,1,0,2,2,"4.0","anomaly"
2,31224,5401,6,"-1",1,4,0,"0.06162549208382123","anomaly"
3,46986,3637,6,0,1,7,0,"21.0","normal"
1,9204,2014,2,0,0,0,0,"44.0","normal"
3,10695,136,6,2,1,7,0,"18.0","normal"
2,17062,69254,2,0,0,0,2,"3.0","anomaly"
3,14485,86490,0,0,0,4,0,"32.0","anomaly"
3,5555,9496,1,"-1",0,10,0,"13.0","anomaly"
0,61574,8216,1,2,0,0,1,"29.0","normal"
3,19490,6924,3,1,0,10,0,"5.0","normal"
