"protocol","port","content_length","content_type","content_charset","method","path","encoding","duration","class"
0,27558,395,6,0,0,2,4,"0.0002004233770041286","attack_SQLi"
0,55518,435,1,"-1",1,7,2,"18.0","normal"
1,8000,76171,"-1","-1",0,0,"-1","25.38221566983554","attack_DDoS"
1,56533,0,5,0,0,2,0,"5.0","normal"
0,58544,408,5,0,0,1,3,"3.0","normal"
0,62710,363,5,2,1,0,"-1","16.0","normal"
3,50458,336,1,1,1,7,0,"1.0","normal"
0,46032,0,"-1","-1",0,11,"-1","16.666544153142713","attack_PathTraversal"
0,21208,255,6,0,0,2,4,"0.0033305971898922836","attack_SQLi"
1,8080,83743,"-1","-1",0,0,"-1","50.31631555819819","attack_DDoS"
0,8080,42225,"-1","-1",0,6,"-1","3.0","attack_DDoS"
0,11323,121,8,0,1,6,0,"0.0038399065613769047","attack_BruteForce"
0,4444,0,"-1","-1",5,11,"-1","0.004559834904716226","attack_Scanner"
0,41076,0,"-1","-1",0,11,"-1","9.0","attack_PathTraversal"
0,14783,394,8,0,1,6,0,"0.0030377141349498737","attack_BruteForce"
0,27642,353,6,0,0,2,4,"44.63586938443745","attack_SQLi"
2,61705,284,0,0,1,0,3,"10.0","normal"
0,44049,0,"-1","-1",0,11,"-1","17.0","attack_PathTraversal"
0,53815,0,1,0,0,7,4,"14.0","normal"
0,5555,0,"-1","-1",5,11,"-1","0.002506821933318629","attack_Scanner"
0,25297,303,6,0,0,2,4,"0.009030946805309994","attack_SQLi"
0,32100,608,5,0,1,5,2,"17.00628106471452","attack_XSS"
0,19682,301,8,0,1,6,0,"0.008523199860985896","attack_BruteForce"
0,49586,0,"-1","-1",0,11,"-1","0.006374515405572025","attack_PathTraversal"
0,52684,344,0,2,0,7,0,"1.0","normal"
2,61685,438,3,0,0,2,0,"7.0","normal"
0,7777,0,"-1","-1",5,11,"-1","17.196468637341408","attack_Scanner"
0,18673,469,8,0,1,6,0,"20.26102847093519","attack_BruteForce"
0,19152,299,8,0,1,6,0,"42.70773249249639","attack_BruteForce"
0,10348,207,8,0,1,6,0,"0.0030582212486642392","attack_BruteForce"
0,22793,300,6,0,0,2,4,"49.16188257452372","attack_SQLi"
0,10765,319,8,0,1,6,0,"27.0","attack_BruteForce"
2,51950,176,3,0,0,3,0,"3.0","normal"
0,37039,473,5,0,1,5,2,"33.3542331963742","attack_XSS"
0,26836,385,6,0,0,2,4,"21.947243266218784","attack_SQLi"
0,25549,232,6,0,0,1,4,"14.0","attack_SQLi"
0,13107,490,8,0,1,6,0,"0.00023502124148761295","attack_BruteForce"
0,23558,248,6,0,0,1,4,"0.0030752590656230494","attack_SQLi"
0,18681,331,8,0,1,6,0,"24.0","attack_BruteForce"
0,4444,0,"-1","-1",5,11,"-1","10.0","attack_Scanner"
0,7777,0,"-1","-1",5,11,"-1","0.007915135388139047","attack_Scanner"
0,7777,0,"-1","-1",5,11,"-1","0.007999982556362377","attack_Scanner"
0,13687,197,8,0,1,6,0,"3.0","attack_BruteForce"
2,65369,418,5,0,0,2,0,"5.0","normal"
2,54804,142,5,0,0,0,0,"25.0","normal"
0,53252,0,5,0,0,4,0,"9.0","normal"
2,65339,385,1,0,0,2,2,"3.0","normal"
0,63124,124,1,2,0,8,4,"2.0","normal"
0,64991,184,0,2,0,4,0,"13.0","normal"
0,54854,195,5,0,0,9,0,"14.0","normal"
0,51755,0,1,0,0,2,1,"3.0","normal"
0,51389,0,5,0,0,0,0,"5.0","normal"
2,60758,270,5,0,0,4,0,"12.0","normal"
0,52549,0,6,0,0,7,3,"11.0","normal"
2,54295,256,4,0,0,0,4,"4.0","normal"
0,24793,462,6,0,0,2,4,"0.008527337448300696","attack_SQLi"
0,65342,390,5,"-1",1,9,0,"17.0","normal"
2,60080,441,1,0,0,2,3,"7.0","normal"
0,5555,0,"-1","-1",5,11,"-1","4.0","attack_Scanner"
0,6666,0,"-1","-1",5,11,"-1","45.621529340349134","attack_Scanner"
2,63608,0,5,0,0,0,4,"31.0","normal"
0,58881,0,5,0,0,0,3,"3.0","normal"
3,50343,378,0,2,1,0,2,"14.0","normal"
0,22957,64,6,0,0,1,4,"1.0","attack_SQLi"
0,16058,365,8,0,1,6,0,"44.29217231587708","attack_BruteForce"
0,14891,445,8,0,1,6,0,"11.0","attack_BruteForce"
0,62761,483,0,0,0,2,2,"1.0","normal"
0,28605,154,6,0,0,2,4,"17.0","attack_SQLi"
0,21012,495,6,0,0,2,4,"43.55613357914526","attack_SQLi"
1,8000,92099,"-1","-1",0,0,"-1","0.00011823906066396494","attack_DDoS"
0,41321,0,"-1","-1",0,11,"-1","0.004815417084595675","attack_PathTraversal"
3,64061,458,1,0,0,4,3,"16.0","normal"
2,59406,301,5,0,0,6,4,"0.0","normal"
0,37374,580,5,0,1,5,2,"24.26779110282103","attack_XSS"
0,64715,272,4,0,0,2,1,"12.0","normal"
0,17979,393,8,0,1,6,0,"0.0024702732664325946","attack_BruteForce"
0,20172,186,6,0,0,1,4,"15.0","attack_SQLi"
0,11165,298,8,0,1,6,0,"51.76904524463678","attack_BruteForce"
0,59118,362,5,"-1",1,10,0,"45.0","normal"
0,46359,0,"-1","-1",0,11,"-1","0.002864342329450683","attack_PathTraversal"
1,80,43199,"-1","-1",0,6,"-1","17.19065965877202","attack_DDoS"
1,55583,184,5,0,0,0,4,"3.0","normal"
2,60870,361,5,0,0,2,0,"1.0","normal"
1,80,45236,"-1","-1",0,2,"-1","14.147897788419908","attack_DDoS"
0,18491,460,8,0,1,6,0,"11.0","attack_BruteForce"
0,8000,95871,"-1","-1",0,0,"-1","33.66684302604705","attack_DDoS"
1,443,49676,"-1","-1",0,2,"-1","0.005617410715006599","attack_DDoS"
2,64173,321,5,0,0,0,3,"8.0","normal"
1,62260,236,3,2,1,2,3,"9.0","normal"
0,10903,326,8,0,1,6,0,"26.0","attack_BruteForce"
2,58492,204,5,0,0,2,2,"3.0","normal"
0,5555,0,"-1","-1",5,11,"-1","44.44606283901864","attack_Scanner"
0,27934,383,6,0,0,2,4,"41.009235140607394","attack_SQLi"
0,4444,0,"-1","-1",5,11,"-1","56.137799085889455","attack_Scanner"
2,56366,214,6,0,1,8,"-1","2.0","normal"
1,49954,0,4,2,0,2,3,"15.0","normal"
0,61652,131,1,"-1",0,2,2,"4.0","normal"
0,80,38783,"-1","-1",0,2,"-1","0.008947268052822232","attack_DDoS"
0,36798,728,5,0,1,5,2,"22.0","attack_XSS"
0,48165,0,"-1","-1",0,11,"-1","8.0","attack_PathTraversal"
1,8080,9507,"-1","-1",0,6,"-1","0.00405319199747806","attack_DDoS"
2,55376,227,3,0,0,2,0,"12.0","normal"
0,45009,0,"-1","-1",0,11,"-1","43.67243763045621","attack_PathTraversal"
0,54697,290,6,0,0,1,0,"5.0","normal"
0,5555,0,"-1","-1",5,11,"-1","16.0","attack_Scanner"
0,4444,0,"-1","-1",5,11,"-1","0.007119117290809547","attack_Scanner"
0,443,93898,"-1","-1",0,0,"-1","0.007362666961957385","attack_DDoS"
1,80,42310,"-1","-1",0,0,"-1","0.00706895030236758","attack_DDoS"
1,8000,88544,"-1","-1",0,2,"-1","26.02700201382702","attack_DDoS"
0,28087,207,6,0,0,2,4,"36.46186665730538","attack_SQLi"
0,49460,163,5,1,0,2,0,"1.0","normal"
0,45227,0,"-1","-1",0,11,"-1","0.00300913348504088","attack_PathTraversal"
2,52840,478,4,0,1,9,2,"20.0","normal"
0,57745,321,5,0,1,3,0,"1.0","normal"
0,7777,0,"-1","-1",5,11,"-1","0.004532452656093561","attack_Scanner"
0,26500,282,6,0,0,1,4,"0.00012136399279584098","attack_SQLi"
0,23479,337,6,0,0,1,4,"27.243215342909963","attack_SQLi"
1,80,40280,"-1","-1",0,0,"-1","22.517937197775158","attack_DDoS"
0,53433,0,5,0,0,0,0,"3.0","normal"
1,8080,45533,"-1","-1",0,0,"-1","0.005873383975742698","attack_DDoS"
2,50226,0,5,0,0,6,1,"9.0","normal"
0,23971,57,6,0,0,1,4,"44.92634307202458","attack_SQLi"
1,8000,56955,"-1","-1",0,2,"-1","58.31228882939441","attack_DDoS"
0,22852,232,6,0,0,2,4,"25.20770776663361","attack_SQLi"
0,35165,299,5,0,1,5,2,"6.0","attack_XSS"
0,4444,0,"-1","-1",5,11,"-1","0.007978637424736366","attack_Scanner"
0,22969,161,6,0,0,1,4,"2.0","attack_SQLi"
0,56857,296,5,0,3,10,0,"6.0","normal"
0,14039,312,8,0,1,6,0,"14.729408905794818","attack_BruteForce"
0,49156,0,"-1","-1",0,11,"-1","25.77719481461854","attack_PathTraversal"
2,58426,487,0,0,0,9,0,"5.0","normal"
2,54070,0,5,0,0,0,0,"1.0","normal"
0,36544,718,5,0,1,5,2,"0.002002786237299945","attack_XSS"
0,80,62302,"-1","-1",0,6,"-1","22.0","attack_DDoS"
0,7777,0,"-1","-1",5,11,"-1","0.009552558299957475","attack_Scanner"
0,40217,0,"-1","-1",0,11,"-1","0.0014127293926275175","attack_PathTraversal"
0,49423,0,"-1","-1",0,11,"-1","5.0","attack_PathTraversal"
0,39747,796,5,0,1,5,2,"3.0","attack_XSS"
2,55561,208,5,2,0,0,2,"3.0","normal"
1,8000,84608,"-1","-1",0,2,"-1","0.006383054965880086","attack_DDoS"
0,34128,972,5,0,1,5,2,"36.953995985862946","attack_XSS"
0,46794,0,"-1","-1",0,11,"-1","0.004988538284993401","attack_PathTraversal"
0,36781,939,5,0,1,5,2,"34.965352615976315","attack_XSS"
0,18748,205,8,0,1,6,0,"0.0018033215738089093","attack_BruteForce"
2,58416,357,3,0,0,10,0,"3.0","normal"
0,46293,0,"-1","-1",0,11,"-1","0.0","attack_PathTraversal"
1,443,65068,"-1","-1",0,6,"-1","43.84453794030119","attack_DDoS"
3,57826,230,0,2,0,0,0,"0.0","normal"
0,12845,165,8,0,1,6,0,"0.004876327540421999","attack_BruteForce"
3,52960,120,1,0,0,2,0,"0.0","normal"
0,7777,0,"-1","-1",5,11,"-1","0.008988730769309963","attack_Scanner"
0,58769,283,1,0,0,2,"-1","12.0","normal"
0,37291,428,5,0,1,5,2,"0.005595872592532908","attack_XSS"
